entry_id,status,matches,len
daari_e0d51ab9-3b01-4ddc-a793-7ce101f41753,was this entry intentional? (ask Karol),"{'daar_76bad5b4-e619-4d3c-b911-8e14ae184d16': ('daar', 0.8888888888888888)}",1
doo5_41f16ef0-fc1b-41c2-a6f2-af2c7356d1c9,"multiple copies, handle w/ Karol","{'dooh1_3ce71fc8-bcb6-49e2-aecf-4bba9da31ed4': ('dooh', 0.9285714285714286), 'do:_53082cdc-d65b-4949-94043a47fd80f8b6': ('do:', 1.0), 'do:_8f96a134-db02-4580-a0d5599f0a181e2': ('do:', 1.0), 'do:_96f3879f-cf4c-469d-ac464a89f9d8374e': ('do:', 1.0), 'do:_b37dc192-f0fc-4fc4-acf9e4423cdd81e2': ('do:', 1.0)}",5
doo6_71c71e5c-3cfb-4726-91ff-2548014eb29d,"multiple copies, handle w/ Karol","{'dooh1_3ce71fc8-bcb6-49e2-aecf-4bba9da31ed4': ('dooh', 0.9285714285714286), 'do:_53082cdc-d65b-4949-94043a47fd80f8b6': ('do:', 1.0), 'do:_8f96a134-db02-4580-a0d5599f0a181e2': ('do:', 1.0), 'do:_96f3879f-cf4c-469d-ac464a89f9d8374e': ('do:', 1.0), 'do:_b37dc192-f0fc-4fc4-acf9e4423cdd81e2': ('do:', 1.0)}",5
e&apos;ỹỹm_f10c9014-71b7-47c5-94e5-6838e40da1fe,merge eỹỹm and e’ỹỹm – review w/ Karol,"{'eỹỹm_db33bb76-0902-4cd5-a8db-eb1f7bdaefba': ('eỹỹm', 0.9545454545454546)}",1
ëën_fe7eb662-ab08-4960-beed-46e3474784d5,delete from clean,"{'ə:n_eb201827-9f6d-4018-a8dde4f259bf9839': ('ə:n', 1.0)}",1
éj1_c35497dd-ca85-4322-b3be-2507a29e22ed,merge w/ éj2 and mark separate sense; delete from clean,"{'ɛ:j_71537484-6042-45a2-b10be64b182d75f': ('ɛ:j', 0.9)}",1
éj2_1a421705-bdf9-45d8-97f2-be8d9f17014e,merge w/ éj1 and mark separate sense; delete from clean,"{'ɛ:j_71537484-6042-45a2-b10be64b182d75f': ('ɛ:j', 0.9)}",1
ër_139ca9bb-450f-4124-8497-3fa5f304fa62,what happened to ëër? Ask Karol,"{'ëër_139ca9bb-450f-4124-8497-3fa5f304fa62': ('ëër', 0.9)}",1
er&apos;oot_81505d8b-502c-4d66-9426-705065ef703a,Emily’s data from the texts? can probably ignore,"{'her’oot_fcd85a56-cfb3-4e88-b636-3a81739ffd26': ('her’oot', 0.9230769230769231), 'hero̰:t_d42677cf-1d23-49c3-b1ed1d7c4b59b99d': ('hero̰:t', 0.9230769230769231)}",2
eỹỹm1_db33bb76-0902-4cd5-a8db-eb1f7bdaefba,merge eỹỹm and e’ỹỹm – review w/ Karol,"{'ỹỹm3_be33ca3b-f6a1-4066-b50a-97e305ec90bb': ('ỹỹm', 0.8888888888888888), 'eỹỹm_db33bb76-0902-4cd5-a8db-eb1f7bdaefba': ('eỹỹm', 1.0), 'ɨ̃:m_b7f8608c-1aaa-4014-b04d968cde2f7f88': ('ɨ̃:m', 0.8888888888888888)}",3
eỹỹm2_b7f8608c-1aaa-4014-b04d-968cde2f7f87,merge eỹỹm and e’ỹỹm – review w/ Karol,"{'ỹỹm3_be33ca3b-f6a1-4066-b50a-97e305ec90bb': ('ỹỹm', 0.8888888888888888), 'eỹỹm_db33bb76-0902-4cd5-a8db-eb1f7bdaefba': ('eỹỹm', 1.0), 'ɨ̃:m_b7f8608c-1aaa-4014-b04d968cde2f7f88': ('ɨ̃:m', 0.8888888888888888)}",3
g&apos;aad hẽnh_a823ec1b-7c9e-457a-8b30-7bd4fa76f088,delete from clean,"{'ga̰:d hẽɲ_a823ec1b-7c9e-457a-8b307bd4fa76f089': ('ga̰:d hẽɲ', 1.0)}",1
g&apos;aad_ea94d6c7-c31e-417e-a17f-4f560dc6bffa,are g’aad (cabeceira) & =g’aad (folha) two different words? - ask Karol,"{'kã̰:d_0e39e610-eab0-434f-95dba602eca2041e': ('kã̰:d', 0.8636363636363636)}",1
g&apos;ããs_f58fdf41-6b50-40ca-bda7-e1ec3f7fe7b4,Emily’s data from the texts? can probably ignore,"{'heg’ããs_701ede49-6082-49ba-9bb8-839bb0f857e8': ('heg’ããs', 0.8571428571428571), 'hagã̰:ʃ_4d9901f6-f587-460a-86b1a99f9948abdb': ('hagã̰:ʃ', 0.8571428571428571)}",2
gãã_6a465dca-9d3c-48a7-b70a-23b463f0896c,Emily’s data from the texts? can probably ignore,"{'ga:h_a3c75190-8a05-4f88-928ab902d20e8ad1': ('ga:h', 0.875)}",1
gëëd_ca7daac0-f358-4922-9534-3c85afb51ee5,Emily’s data from the texts? can probably ignore,"{'gə:t_80dd9aea-7e89-4714-a295f1bddb8ebddb': ('gə:t', 0.875)}",1
gód_afb44df8-075a-40c9-8eed-b4be294caa89,delete from clean,"{'gód2_afb44df8-075a-40c9-8eed-b4be294caa89': ('gód', 1.0)}",1
h&apos;ëëb_13ea1f78-fc9e-4be4-b1b9-81ad0d92566c,delete new,"{'h’ëëb_2d2a4415-053e-4b4e-bf26-6a3fb35e5a49': ('h’ëëb', 1.0)}",1
h&apos;yyb_2f99908e-413c-4ac4-a8ab-9594aa555c1d,merge h’yyb and h’ëëb as h’ÿÿb,"{'h’ëëb_2d2a4415-053e-4b4e-bf26-6a3fb35e5a49': ('h’ëëb', 0.9)}",1
ha1_d8ff5f99-7c38-4ed3-ae5a-ceba827841bf,remove all,"{'ha_d8ff5f99-7c38-4ed3-ae5aceba827841c0': ('ha', 1.0)}",1
ha2_dacf0200-8acf-4322-9ad4-cc4be61a5f11,keep this version,"{'haa_6a83eb37-c1ab-4dc2-8210-1d9195abca43': ('haa', 0.9), 'hã_394e29a8-d5e6-4ae4-ab8e521acec8fd7': ('hã', 0.9), 'ha_d8ff5f99-7c38-4ed3-ae5aceba827841c0': ('ha', 1.0)}",3
hahỹỹh1_c9b7d1df-1bb9-48d2-a71c-af0fdd38ed70,merge these 3 – barriga/assim/este? Ask Karol,"{'hahɨ̃:h_c9b7d1df-1bb9-48d2-a71caf0fdd38ed71': ('hahɨ̃:h', 1.0)}",1
hahỹỹh2_d33ded7e-4afe-450a-a112-bb66fd7cddce,merge these 3 – barriga/assim/este? Ask Karol,"{'hahɨ̃:h_c9b7d1df-1bb9-48d2-a71caf0fdd38ed71': ('hahɨ̃:h', 1.0)}",1
hahỹỹh3_e8fb77d0-ee1d-45ad-a9eb-72b3f11fb6da,merge these 3 – barriga/assim/este? Ask Karol,"{'hahɨ̃:h_c9b7d1df-1bb9-48d2-a71caf0fdd38ed71': ('hahɨ̃:h', 1.0)}",1
haɾũm_e7c19295-e5b4-4fbe-afa0-407f81dde475,remove all,"{'harum_15ce4d3f-c20c-4b98-ac5e-19c13eada4af': ('harum', 0.9545454545454546)}",1
hawät1_ee5984fe-4b74-4ff7-994b-e1c68e1486b6,Emily’s data from the texts? can probably ignore,"{'awät_94af7d8a-ba5e-4b2b-9ef7-cfa69923b978': ('awät', 0.8888888888888888), 'hawʌt_ee5984fe-4b74-4ff7-994be1c68e1486b7': ('hawʌt', 1.0)}",2
hawät2_3d56498e-1714-4d02-8a5b-f5e0c8b83b18,Emily’s data from the texts? can probably ignore,"{'awät_94af7d8a-ba5e-4b2b-9ef7-cfa69923b978': ('awät', 0.8888888888888888), 'hawʌt_ee5984fe-4b74-4ff7-994be1c68e1486b7': ('hawʌt', 1.0)}",2
hawät3_38021475-4b06-4fbf-89f0-bfdce2e8beed,Emily’s data from the texts? can probably ignore,"{'awät_94af7d8a-ba5e-4b2b-9ef7-cfa69923b978': ('awät', 0.8888888888888888), 'hawʌt_ee5984fe-4b74-4ff7-994be1c68e1486b7': ('hawʌt', 1.0)}",2
hawät4_54c34f11-38da-42ad-bbea-ba9bc67ea772,Emily’s data from the texts? can probably ignore,"{'awät_94af7d8a-ba5e-4b2b-9ef7-cfa69923b978': ('awät', 0.8888888888888888), 'hawʌt_ee5984fe-4b74-4ff7-994be1c68e1486b7': ('hawʌt', 1.0)}",2
heen n&apos;aa_e00ea0a4-a593-43c3-b339-f3933a66bdca,delete from clean,"{'he:n na̰:_e00ea0a4-a593-43c3-b339f3933a66bdcb': ('he:n na̰:', 1.0)}",1
heg&apos;ããs_52bb2a30-8b95-493c-a434-90c1fd883149,delete from clean,"{'heg’ããs_701ede49-6082-49ba-9bb8-839bb0f857e8': ('heg’ããs', 1.0), 'hagã̰:ʃ_4d9901f6-f587-460a-86b1a99f9948abdb': ('hagã̰:ʃ', 0.875)}",2
hen n&apos;aa_3500dbaa-46d3-4f60-862d-cd481eb4521e,delete from clean,"{'he:n na̰:_e00ea0a4-a593-43c3-b339f3933a66bdcb': ('he:n na̰:', 0.9705882352941176)}",1
her&apos;oot_f3c73a07-68e2-4eba-b8d9-48f1f65dce06,Emily’s data from the texts? can probably ignore,"{'her’oot_fcd85a56-cfb3-4e88-b636-3a81739ffd26': ('her’oot', 1.0), 'hero̰:t_d42677cf-1d23-49c3-b1ed1d7c4b59b99d': ('hero̰:t', 1.0)}",2
hewooj_397db076-cf3b-4301-9885-681cbbd2ec19,delete from clean,"{'hewo:ɲ_397db076-cf3b-4301-9885681cbbd2ec1a': ('hewo:ɲ', 0.9166666666666666)}",1
hyb n&apos;aa_5ef1ef1c-464b-45e0-b875-d2a39c507c2f,delete from clean,"{'həbna̰:_cb31e5a8-cf19-4967-8c75ed31937289da': ('həbna̰:', 0.8666666666666667), 'hɨb na̰:_f36368e5-54f1-4cad-87fd7c40436bda70': ('hɨb na̰:', 1.0)}",2
janati_1bd7a005-8171-46fd-a65d-69898076947f,delete from clean,"{'janati1_1bd7a005-8171-46fd-a65d-69898076947f': ('janati', 1.0), 'janati2_44596d86-91ab-40aa-bd2d-c32eead8c0bf': ('janati', 1.0)}",2
jawäk_11b99d8c-9b68-4e6b-869d-e3530425e72b,delete from clean,"{'jawëk_11b99d8c-9b68-4e6b-869d-e3530425e72b': ('jawëk', 0.9)}",1
jóp_3058b354-3497-4b57-9fa9-605aaa741d02,delete from clean,"{'jɔ̃:p_cd1b5ad6-d2f8-4f22-ac9f5ee86062d56': ('jɔ̃:p', 0.875)}",1
kajaa_1c493ee0-7a31-4402-8d70-91241eca359f,keep all?,"{'kajah_384cf412-8cb1-41f6-b481a718b693ffdd': ('kajah', 0.9), 'kaja:_83922ee0-946f-468f-b13dbdba82d957bb': ('kaja:', 1.0)}",2
kas&apos;aag_523b72bb-98b3-4577-99d1-32895c155098,delete from clean,"{'kas’aag_1174c294-d1e6-4e74-8fae-7bf655663f34': ('kas’aag', 1.0)}",1
kuj&apos;uuj_d674eeda-bfa4-47b0-86d8-ce128cfc5d92,delete from clean,"{'kujṵj_d674eeda-bfa4-47b0-86d8ce128cfc5d93': ('kujṵj', 0.9615384615384616)}",1
kuruj du_cee3da30-09cb-4fe7-8929-c2a990e5caa8,delete from clean,"{'kuruj-du_cee3da30-09cb-4fe7-8929-c2a990e5caa8': ('kuruj-du', 1.0)}",1
kyy_59de41e9-b105-4c69-a886-a5bb65ba9afd,delete? Ask Karol,"{'kɨ:h_abaed6a6-acab-4bad-990983f48cf3c885': ('kɨ:h', 0.9285714285714286)}",1
ma&apos;ëëts_401e55d0-b859-4ce4-b1bc-350692fd76a2,delete from clean,"{'maëts_401e55d0-b859-4ce4-b1bc-350692fd76a2': ('maëts', 0.9)}",1
ma4_9a1a9a15-e8bb-4980-8472-a9e3253ce731,"Literally 6 ma’s, handle them all w/ Karol","{'ma_4264a5f5-d297-4c5e-9ce680ae7193474b': ('ma', 1.0), 'ma_54731d58-1347-4780-981b8e439d93d278': ('ma', 1.0), 'ma_d9520bd1-d3cc-41e0-a4b4ca44534c821a': ('ma', 1.0)}",3
ma5_dd0666f2-5914-433d-a28a-fbf359a35f2b,"Literally 6 ma’s, handle them all w/ Karol","{'ma_4264a5f5-d297-4c5e-9ce680ae7193474b': ('ma', 1.0), 'ma_54731d58-1347-4780-981b8e439d93d278': ('ma', 1.0), 'ma_d9520bd1-d3cc-41e0-a4b4ca44534c821a': ('ma', 1.0)}",3
mahũũr_d5012807-382c-4ce2-ae64-fe70e83272d7,delete from clean,"{'mahũũr1_d5012807-382c-4ce2-ae64-fe70e83272d7': ('mahũũr', 1.0)}",1
maj’ëeh_7d9b566b-8897-43aa-aa2c-44c3136b2409,delete from clean,"{'maj’ëe_7d9b566b-8897-43aa-aa2c-44c3136b2409': ('maj’ëe', 0.9615384615384616)}",1
makũũ_b7eaf28f-6761-49ec-ac7f-df774057c02b,delete from clean,"{'makũ:h_b7eaf28f-6761-49ec-ac7fdf774057c02c': ('makũ:h', 0.9615384615384616)}",1
mame_1a267230-fb27-4cf5-b2e1-0ba438da4a70,delete from clean,"{'mamec_1a267230-fb27-4cf5-b2e1ba438da4a71': ('mamec', 0.8888888888888888)}",1
man&apos;uuts_898ee1a2-ed1e-4b76-ae8d-ab5b1600b6d1,delete from clean,"{'manṵ̃c_2c48a8a4-7fdd-4fe9-96f7ace262c92281': ('manṵ̃c', 0.9285714285714286)}",1
marahuud_579cf0f2-5521-4f7c-8650-e9e7775a6a6d,delete from clean,"{'marahud_579cf0f2-5521-4f7c-8650-e9e7775a6a6d': ('marahud', 0.9666666666666667), 'marahud_be32a4cd-3200-41a9-bd5c98c7e9a363c4': ('marahud', 0.9666666666666667), 'marahu:d_ef1c8465-a5e4-4269-b0ee40fed97f627c': ('marahu:d', 1.0)}",3
maɾahuːd_ef1c8465-a5e4-4269-b0ee-40fed97f627b,remove all,"{'marahud_579cf0f2-5521-4f7c-8650-e9e7775a6a6d': ('marahud', 0.9666666666666667), 'marahud_be32a4cd-3200-41a9-bd5c98c7e9a363c4': ('marahud', 0.9666666666666667), 'marahu:d_ef1c8465-a5e4-4269-b0ee40fed97f627c': ('marahu:d', 1.0)}",3
maɾakaaw_81a4f1d6-0f63-4473-8154-e6377deca3a7,orthography note- change IPA ‘ɾ’ to Latin ‘r’,"{'maraka(:)w_81a4f1d6-0f63-4473-8154e6377deca3a8': ('maraka(:)w', 0.8888888888888888)}",1
mỹỹj_dfe6e587-6395-4e95-992c-85a4d3e70bac,delete from clean,"{'mɨ:j_79d22043-a50a-490e-92dc1dc765665622': ('mɨ:j', 0.9444444444444444)}",1
n&apos;aa_ffe9aef3-6369-43f7-b87d-b91ab18b00c6,delete from clean,"{'na̰:_1d906551-ab54-4157-8e621fd969e9a668': ('na̰:', 1.0)}",1
nä1_4b7f5948-bdce-4500-aff6-a4162c201a26,delete from clean,"{'nʌ_4b7f5948-bdce-4500-aff6a4162c201a27': ('nʌ', 1.0)}",1
nä2_f686f0fd-09f2-4106-b547-4c7070be1556,delete new & clean,"{'nʌ_4b7f5948-bdce-4500-aff6a4162c201a27': ('nʌ', 1.0)}",1
na5_8c6bfa36-bf9c-4543-9d2d-eaf58ae1d718,Literally 5 na’s – ask Karol,"{'na_0126d0ce-96ed-408a-bd2866f3a4628410': ('na', 1.0), 'na_2df851cc-b722-41ba-aac8b28779debd8d': ('na', 1.0), 'na_502c638d-8616-4812-b9667966da16815c': ('na', 1.0), 'na_fa915d92-ea88-4f0a-9cedef2f7a30fe8e': ('na', 1.0)}",4
nad&apos;ëëd_dd993279-961b-4e7e-aaf2-0286f5a2b9e1,delete from clean,"{'nad’ëëd_dd993279-961b-4e7e-aaf2-0286f5a2b9e1': ('nad’ëëd', 1.0)}",1
nag&apos;aap hẽ_d061f271-a505-4648-839a-49668d255562,are these two different words? - ask Karol,"{'naga hẽ_3980fa65-cfdf-4ed7-8a6b2b965258d605': ('naga hẽ', 0.8947368421052632)}",1
näng1_d60ff176-1202-4425-98d3-4a3ae5fa1644,cartilha data; ignore,"{'nʌŋ_d60ff176-1202-4425-98d34a3ae5fa1645': ('nʌŋ', 1.0)}",1
näng2_d78c5f80-7eb0-47dc-85e4-5928a1eca688,Emily’s data from the texts? can probably ignore,"{'nʌŋ_d60ff176-1202-4425-98d34a3ae5fa1645': ('nʌŋ', 1.0)}",1
ner&apos;oot_f5a3ad5d-b935-41f3-b68d-bc2007b2bafd,Emily’s data from the texts? can probably ignore,"{'her’oot_fcd85a56-cfb3-4e88-b636-3a81739ffd26': ('her’oot', 0.8928571428571429), 'hero̰:t_d42677cf-1d23-49c3-b1ed1d7c4b59b99d': ('hero̰:t', 0.8928571428571429)}",2
noo ken&apos;aak_7c184abd-1399-4ba0-b334-0a56f7ead37c,delete from clean,"{'no: kena̰:k_7c184abd-1399-4ba0-b334a56f7ead37d': ('no: kena̰:k', 1.0)}",1
noo1_85e5d65c-81a9-43ba-8b05-e1d0cb3a0943,delete from clean,"{'nooh_85e5d65c-81a9-43ba-8b05-e1d0cb3a0943': ('nooh', 0.9285714285714286)}",1
noo2_fd121132-52a5-48ea-bd08-47e6db5af53b,merge entries,"{'no̰:_4b7dce3a-006c-458c-ba0cbb5e1c53defe': ('no̰:', 0.9285714285714286)}",1
p’ooh_8351b529-6dec-4374-bbcc-30b2cb59847d,delete from clean,"{'p’ooh1_8351b529-6dec-4374-bbcc-30b2cb59847d': ('p’ooh', 1.0)}",1
p&apos;ëëts hẽ_861f321d-8e0a-420b-ade0-944ee4181915,delete from clean,"{'p’eets hẽ_861f321d-8e0a-420b-ade0-944ee4181915': ('p’eets hẽ', 0.8888888888888888)}",1
p&apos;õõd_3c008e5f-3857-4929-be3f-61619adf7862,delete from clean,"{'põ̰:d_10e5af7f-29aa-4fa9-82c98ab0dadec297': ('põ̰:d', 1.0), 'pɔ̰̃:d_708f622c-e2c2-456a-a655df9b7f44ae2': ('pɔ̰̃:d', 0.9166666666666666), 'pɔ̰̃:d_ab0cfaae-c21c-4d6f-a26cb1212aa99937': ('pɔ̰̃:d', 0.9166666666666666)}",3
p&apos;ooj ub_c3d4d0b7-a697-421b-8810-b27fc9f4e533,delete from clean,"{'po̰:j ub_15ba43d2-22e3-4dab-b985542fdf887813': ('po̰:j ub', 1.0)}",1
p&apos;oop_225f6321-c78f-4ebb-8e0a-cedffeee98c5,delete from clean,"{'po̰p_663cf027-4684-4541-a231ff7dea821110': ('po̰p', 0.9444444444444444), 'po̰:p_d7c15097-e7aa-466b-b75bf54b0e2625db': ('po̰:p', 1.0)}",2
p&apos;op_2eeab430-b6af-4141-908e-616e5844e507,remove all; add note to p’op indicating short variant,"{'po̰p_663cf027-4684-4541-a231ff7dea821110': ('po̰p', 1.0), 'po̰:p_d7c15097-e7aa-466b-b75bf54b0e2625db': ('po̰:p', 0.9444444444444444)}",2
päh_f504ef30-0c11-485d-9764-e4cb2d84e110,Emily’s data from the texts? can probably ignore,"{'pä_f147e3d8-5601-4640-b31b-4fd6d06fa113': ('pä', 0.9)}",1
pan&apos;aa_09920e5c-4e7b-42e1-b949-ea77191bd8df,cartilha data; ignore,"{'panaar_5df6f1bc-f203-4ab8-a0c6-d9a93b1400f2': ('panaar', 0.875), 'pana̰:_167b4818-2852-44f2-aef766c8c4ba3c2e': ('pana̰:', 1.0)}",2
panʹaa_167b4818-2852-44f2-aef7-66c8c4ba3c2d,delete from clean,"{'panaar_5df6f1bc-f203-4ab8-a0c6-d9a93b1400f2': ('panaar', 0.875), 'pana̰:_167b4818-2852-44f2-aef766c8c4ba3c2e': ('pana̰:', 1.0)}",2
puud_6aac88b8-8517-4460-9bb1-0a8642d54dab,pud vs puud two different words? Ask Karol,"{'pud_bc1dd6d3-4e78-41a7-888f-9200c232f3bc': ('pud', 0.9285714285714286)}",1
pyym_48a754db-ea05-4440-bcad-eec33e19477e,make p’yym spelling variant of pyym?,"{'p’yym1_c58f3f30-b24e-49b3-89c7-a8dbbcc5fc5b': ('p’yym', 0.9444444444444444)}",1
r&apos;ood_31ad6b1c-e5ca-4f2c-b2cb-59c7c5ebb15c,delete from clean,"{'ro̰:d_4acc9cdb-de0b-4f94-b9e3ebe14eadfa08': ('ro̰:d', 1.0)}",1
r&apos;oot_e8e02051-ff0f-4d2f-a1a8-2da0e580ff5c,Emily’s data from the texts? can probably ignore,"{'ro̰:d_4acc9cdb-de0b-4f94-b9e3ebe14eadfa08': ('ro̰:d', 0.9)}",1
s&apos;ëë_c93313d0-c120-4329-a437-dfffda2d32f6,Emily’s data from the texts? can probably ignore,"{'s’ëëh_c2500249-3e46-4056-8e86-6d258b177a45': ('s’ëëh', 0.9444444444444444), 'ʃə:_77981701-bff1-498b-a88bf2ff0d46a7a3': ('ʃə:', 0.9285714285714286)}",2
s&apos;oow_bd149bf3-7f4c-42b9-901c-045655c034c8,delete from clean,"{'s’oow_bd149bf3-7f4c-42b9-901c-045655c034c8': ('s’oow', 1.0)}",1
sahõnh1_a1ab4219-36f5-430c-a606-58f9e05fbf5d,merge w/ sahonh2,"{'ʃahõɲ_a1ab4219-36f5-430c-a60658f9e05fbf5e': ('ʃahõɲ', 1.0)}",1
sahõnh2_8e9ff548-76b1-4d49-8674-cc210d0c6f6f,Emily’s data from the texts? can probably ignore,"{'ʃahõɲ_a1ab4219-36f5-430c-a60658f9e05fbf5e': ('ʃahõɲ', 1.0)}",1
sareej_8e9915c4-691e-4a64-a726-6e20a0b8d7ac,was this entry attested in fieldnotes? Ask Karol,"{'ʃare:j_3b28e452-5d26-4a88-94a5a228bff09db2': ('ʃare:j', 1.0)}",1
saroor_d5e2a7f5-0b77-41ec-aebc-0f8c9ce1602c,"add bibliography indicating fieldnotes, delete from clean","{'saroor2_d5e2a7f5-0b77-41ec-aebc-0f8c9ce1602c': ('saroor', 1.0), 'ʃaro:r_ca5bfa8b-4463-4b3d-a0be200a2bac12ba': ('ʃaro:r', 1.0)}",2
seeh_1cfd2a36-ecf9-42a1-8bdc-2975ec83305d,delete from clean,"{'ʃe:h_7ae1b6f3-336e-4130-bcf57e76f3853f43': ('ʃe:h', 1.0)}",1
sẽẽj_31d20726-ce1f-4f98-a01d-4dabbd5a7721,delete new,"{'sẽẽj2_31d20726-ce1f-4f98-a01d-4dabbd5a7721': ('sẽẽj', 1.0)}",1
sëëk_5e93b904-f881-49c4-9fdf-44fd821acf23,Emily’s data from the texts? can probably ignore,"{'asëëk_a66ea5e8-0c6b-4415-bf0f-ed7c04faaca2': ('asëëk', 0.8888888888888888), 'ʃə:_77981701-bff1-498b-a88bf2ff0d46a7a3': ('ʃə:', 0.8571428571428571)}",2
sok_e4291635-cb02-4a7d-b79d-3a8216aa1e82,Emily’s data from the texts? can probably ignore,"{'aʃok_3b09d234-1d9d-43fa-8d851600b775eff3': ('aʃok', 0.8571428571428571), 'eʃok_ef9574fd-7c87-4d19-93d3681bd9792263': ('eʃok', 0.8571428571428571)}",2
syy_b38cc436-4e22-47f3-b125-5e562663c1f6,Emily’s data from the texts? can probably ignore,"{'s’ỹỹ1_4b90f87b-b955-4578-a4eb-450e5425a275': ('s’ỹỹ', 0.875), 'syyj_9f339257-1bc7-4ea1-897f-ad0099dbb709': ('syyj', 0.8571428571428571)}",2
